"name","merge","flexbar_q"
"1_70008_mor_imp_45790779","0 - 557 / 47.6 +- 48.01","16 - 30 / 23 +- 3.35"
"10_90002_mor_det_45776883","0 - 686 / 48.4 +- 48.84","16 - 30 / 23.7 +- 3.87"
"11_10102_mor_det_45794778","0 - 594 / 47.5 +- 47.66","16 - 30 / 23 +- 3.26"
"12_20042_eve_det_45788807","0 - 754 / 47.4 +- 47.79","16 - 30 / 23.3 +- 3.65"
"13_90006_eve_det_45796767","0 - 595 / 47.6 +- 48.09","16 - 30 / 22.8 +- 3.29"
"14_10104_eve_det_45791770","0 - 582 / 48 +- 48.41","16 - 30 / 23 +- 3.47"
"15_Control_blood_9_45784879","0 - 670 / 46.7 +- 47.03","16 - 30 / 22.7 +- 3.01"
"16_10103_I1","0 - 723 / 50.1 +- 50.95","16 - 30 / 21.6 +- 2.17"
"16_Control_blood_11_45796768","0 - 638 / 48.1 +- 48.44","16 - 30 / 22.8 +- 3.2"
"17_10108_I2","0 - 550 / 51.7 +- 51.92","16 - 30 / 21.5 +- 2.37"
"17_Control_blood_12_45792774","0 - 537 / 47.3 +- 47.65","16 - 30 / 22.6 +- 2.95"
"18_10136_I3","0 - 662 / 49.1 +- 49.84","16 - 30 / 21.6 +- 2.71"
"18_Control_blood_13_45786842","0 - 591 / 47.8 +- 47.98","16 - 30 / 22.8 +- 3.21"
"19_10141_I4","0 - 532 / 48.9 +- 48.98","16 - 30 / 21.5 +- 2.66"
"19_Control_blood_14_45759905","0 - 723 / 47.3 +- 47.76","16 - 30 / 23 +- 3.31"
"2_40058_mor_imp_45775868","0 - 557 / 47.9 +- 48.28","16 - 30 / 23.3 +- 3.62"
"20_10155_I5","0 - 591 / 49.9 +- 50.28","16 - 30 / 21.7 +- 2.65"
"20_Control_blood_15_45793787","0 - 636 / 47.7 +- 47.85","16 - 30 / 22.6 +- 2.83"
"21_10181_I6","0 - 587 / 51.7 +- 52.23","16 - 30 / 21.4 +- 2.72"
"21_Control_blood_16_45775870","0 - 634 / 48.1 +- 48.42","16 - 30 / 22.7 +- 3.04"
"22_10100_D1","0 - 497 / 48.6 +- 49.23","16 - 30 / 21.5 +- 2.51"
"22_Control_blood_17_45792776","0 - 585 / 47.5 +- 47.92","16 - 30 / 22.7 +- 3.02"
"23_10116_D2","0 - 580 / 48.8 +- 48.83","16 - 30 / 21.4 +- 2.38"
"23_Control_blood_18_45794783","0 - 581 / 48.5 +- 49.01","16 - 30 / 22.8 +- 3.21"
"24_10145_D3","0 - 514 / 50.6 +- 50.88","16 - 30 / 21.4 +- 2.48"
"24_Control_blood_19_45793789","0 - 614 / 47.5 +- 47.82","16 - 30 / 22.8 +- 3.13"
"25_10146_D4","0 - 588 / 49.5 +- 49.82","16 - 30 / 21.5 +- 2.4"
"26_10156_D5","0 - 602 / 50.8 +- 51.18","16 - 30 / 21.4 +- 2.62"
"27_30057_D6","0 - 531 / 49.5 +- 49.8","16 - 30 / 21.4 +- 2.45"
"3_10166_mor_imp_45795773","0 - 633 / 48.1 +- 48.66","16 - 30 / 22.7 +- 3.05"
"4_10177_eve_imp_45795771","0 - 609 / 47.2 +- 47.57","16 - 30 / 22.9 +- 3.23"
"5_10171_eve_imp_45788808","0 - 577 / 47.9 +- 48.31","16 - 30 / 22.9 +- 3.21"
"6_40049_eve_imp_45790782","0 - 636 / 47.7 +- 48.1","16 - 30 / 23 +- 3.3"
"7_30040_mor_det_45785850","0 - 723 / 47.2 +- 47.47","16 - 30 / 23 +- 3.27"
"8_60004_mor_det_45796771","0 - 614 / 47.2 +- 47.51","16 - 30 / 22.9 +- 3.38"
"9_30053_mor_det_45787820","0 - 707 / 47.2 +- 47.74","16 - 30 / 22.9 +- 3.31"
