"","cells","file","batch"
"1","CD14 cells","SRR5755815",3
"2","CD15 cells","SRR5755816",3
"3","CD19 cells","SRR5755817",3
"4","CD4 cells","SRR5755813",1
"5","CD56 cells","SRR5755818",3
"6","CD8 cells","SRR5755814",3
"7","CD14 cells","SRR5755821",3
"8","CD15 cells","SRR5755822",3
"9","CD19 cells","SRR5755823",3
"10","CD235a cells","SRR5755825",3
"11","CD4 cells","SRR5755819",3
"12","CD56 cells","SRR5755824",3
"13","CD8 cells","SRR5755820",3
"14","CD14 cells","SRR5755828",3
"15","CD15 cells","SRR5755829",3
"16","CD19 cells","SRR5755830",3
"17","CD235a cells","SRR5755832",3
"18","CD4 cells","SRR5755826",3
"19","CD56 cells","SRR5755831",3
"20","CD8 cells","SRR5755827",3
"21","CD14 cells","SRR5755835",3
"22","CD15 cells","SRR5755836",3
"23","CD19 cells","SRR5755837",1
"24","CD235a cells","SRR5755839",3
"25","CD4 cells","SRR5755833",1
"26","CD56 cells","SRR5755838",3
"27","CD8 cells","SRR5755834",3
"28","CD14 cells","SRR5755842",3
"29","CD15 cells","SRR5755843",3
"30","CD19 cells","SRR5755844",3
"31","CD235a cells","SRR5755846",3
"32","CD4 cells","SRR5755840",3
"33","CD56 cells","SRR5755845",3
"34","CD8 cells","SRR5755841",3
"35","CD14 cells","SRR5755849",3
"36","CD15 cells","SRR5755850",3
"37","CD19 cells","SRR5755851",3
"38","CD235a cells","SRR5755853",3
"39","CD4 cells","SRR5755847",3
"40","CD56 cells","SRR5755852",3
"41","CD8 cells","SRR5755848",3
"42","CD14 cells","SRR5755856",1
"43","CD15 cells","SRR5755857",3
"44","CD19 cells","SRR5755858",1
"45","CD235a cells","SRR5755860",3
"46","CD4 cells","SRR5755854",3
"47","CD56 cells","SRR5755859",3
"48","CD8 cells","SRR5755855",3
"49","CD14 cells","SRR5755863",3
"50","CD15 cells","SRR5755864",3
"51","CD19 cells","SRR5755865",3
"52","CD235a cells","SRR5755867",3
"53","CD4 cells","SRR5755861",3
"54","CD56 cells","SRR5755866",3
"55","CD8 cells","SRR5755862",3
"56","CD14 cells","SRR5755870",3
"57","CD15 cells","SRR5755871",3
"58","CD19 cells","SRR5755872",3
"59","CD235a cells","SRR5755874",3
"60","CD4 cells","SRR5755868",3
"61","CD56 cells","SRR5755873",3
"62","CD8 cells","SRR5755869",3
"63","CD14 cells","SRR5755877",3
"64","CD15 cells","SRR5755878",3
"65","CD19 cells","SRR5755879",3
"66","CD235a cells","SRR5755881",3
"67","CD4 cells","SRR5755875",3
"68","CD56 cells","SRR5755880",3
"69","CD8 cells","SRR5755876",3
"70","CD14 cells","SRR5755884",3
"71","CD15 cells","SRR5755885",3
"72","CD19 cells","SRR5755886",3
"73","CD235a cells","SRR5755888",3
"74","CD4 cells","SRR5755882",3
"75","CD56 cells","SRR5755887",3
"76","CD8 cells","SRR5755883",3
"77","CD14 cells","SRR5755891",2
"78","CD15 cells","SRR5755892",2
"79","CD19 cells","SRR5755893",2
"80","CD235a cells","SRR5755895",2
"81","CD4 cells","SRR5755889",3
"82","CD56 cells","SRR5755894",2
"83","CD8 cells","SRR5755890",2
"84","CD14 cells","SRR5755898",1
"85","CD15 cells","SRR5755899",2
"86","CD19 cells","SRR5755900",2
"87","CD235a cells","SRR5755902",2
"88","CD4 cells","SRR5755896",2
"89","CD56 cells","SRR5755901",2
"90","CD8 cells","SRR5755897",2
"91","CD14 cells","SRR5755905",2
"92","CD15 cells","SRR5755906",2
"93","CD19 cells","SRR5755907",2
"94","CD235a cells","SRR5755909",2
"95","CD4 cells","SRR5755903",2
"96","CD56 cells","SRR5755908",2
"97","CD8 cells","SRR5755904",2
"98","CD14 cells","SRR5755912",2
"99","CD15 cells","SRR5755913",2
"100","CD19 cells","SRR5755914",2
"101","CD235a cells","SRR5755916",2
"102","CD4 cells","SRR5755910",2
"103","CD56 cells","SRR5755915",2
"104","CD8 cells","SRR5755911",2
"105","CD14 cells","SRR5755919",2
"106","CD15 cells","SRR5755920",2
"107","CD19 cells","SRR5755921",2
"108","CD235a cells","SRR5755923",2
