,10_40039_S11_R1_001.expression,10_90002_mor_det_45776883_R1.expression,1_10115_88_S4_R1_001.expression,11_10102_mor_det_45794778_R1.expression,11_40044_S12_R1_001.expression,12_20042_eve_det_45788807_R1.expression,12_40035_S13_R1_001.expression,13_10119_94_S14_R1_001.expression,13_90006_eve_det_45796767_R1.expression,14_10104_eve_det_45791770_R1.expression,14_40003_S15_R1_001.expression,15_40047_S16_R1_001.expression,15_Control_blood_9_45784879_R1.expression,16_10103_I1_R1.expression,16_Control_blood_11_45796768_R1.expression,1_70008_mor_imp_45790779_R2.expression,17_10108_I2_R1.expression,17_Control_blood_12_45792774_R1.expression,18_10136_I3_R1.expression,18_Control_blood_13_45786842_R1.expression,19_10141_I4_R1.expression,19_Control_blood_14_45759905_R1.expression,20_10155_I5_R1.expression,20_Control_blood_15_45793787_R1.expression,2_10131_83_S5_R1_001.expression,21_10181_I6_R1.expression,21_Control_blood_16_45775870_R1.expression,22_10100_D1_R1.expression,22_Control_blood_17_45792776_R1.expression,23_10116_D2_R1.expression,23_Control_blood_18_45794783_R1.expression,2_40058_mor_imp_45775868_R1.expression,24_10145_D3_R1.expression,24_Control_blood_19_45793789_R1.expression,25_10146_D4_R1.expression,26_10156_D5_R1.expression,27_30057_D6_R1.expression,3_10166_mor_imp_45795773_R1.expression,3_10189_45_S6_R1_001.expression,4_10177_eve_imp_45795771_R1.expression,4_90003_S7_R1_001.expression,5_10171_eve_imp_45788808_R1.expression,5_40026_S8_R1_001.expression,6_30065_S9_R1_001.expression,6_40049_eve_imp_45790782_R1.expression,7_30040_mor_det_45785850_R1.expression,8_60004_mor_det_45796771_R1.expression,9_30053_mor_det_45787820_R1.expression,9_30074_50_S10_R1_001.expression
hsa-miR-4706,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,2,0
hsa-miR-4637,1,0,1,1,0,0,1,2,1,0,1,0,6,0,13,0,1,1,0,4,0,4,0,8,0,0,12,0,3,0,3,1,1,7,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
hsa-miR-3157-5p,1,1,2,1,0,0,2,0,2,0,0,2,4,1,2,0,0,4,6,2,0,7,0,6,1,2,10,1,8,1,4,3,1,0,2,1,0,0,1,3,1,3,0,0,4,2,1,0,0
hsa-miR-3157-3p,13,8,9,18,0,9,10,11,8,18,9,9,23,4,36,0,8,6,2,22,3,18,2,15,7,3,19,3,22,5,24,11,2,29,1,2,4,21,8,16,13,14,9,14,11,15,5,8,3
hsa-miR-6859-5p,81,45,49,70,28,50,74,67,50,49,57,59,134,24,89,0,25,88,10,66,8,117,10,105,100,9,129,7,188,20,125,61,15,85,20,25,12,66,88,64,73,129,48,69,63,68,57,52,115
hsa-miR-6859-3p,3,10,5,9,3,14,10,13,6,6,8,9,42,1,10,0,6,25,3,20,0,26,5,32,14,8,31,3,49,3,31,11,3,14,2,3,7,10,19,27,15,20,8,12,15,23,5,12,9
hsa-miR-550b-3p,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,630,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-550b-2-5p,1,0,3,4,0,1,2,1,1,0,0,1,6,2,5,38,3,1,0,3,0,4,0,2,2,0,3,2,5,3,4,2,1,3,0,1,0,2,0,3,2,0,0,4,3,1,2,5,2
hsa-miR-8079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1281,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-423-5p,171322,60607,112780,72453,62384,71473,132835,127301,87803,61936,122044,90410,92438,32388,79612,0,37935,63808,25342,69396,22674,89985,25151,64588,141876,28435,91642,17403,101584,29267,84741,67292,21340,64579,27232,26775,20889,75701,89694,101049,85973,111027,103850,175462,54420,89635,69646,65100,127618
hsa-miR-423-3p,102377,56136,97789,106203,23213,107462,158528,195106,82549,63951,96511,101936,183784,39615,134677,0,48787,96916,31614,89035,26106,109259,46065,161542,111259,31000,157052,24259,152922,29242,111153,80603,42670,104846,32510,30625,24121,136124,104989,182065,157095,193858,110100,110646,101233,130237,86500,149672,113851
hsa-miR-3654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-182-5p,10735,3895,13410,7305,2563,8369,18736,14288,6445,11213,17738,9948,116703,2421,70411,0,2602,32009,1254,48782,735,26045,2012,44642,20396,973,41972,1021,42776,2658,112290,5721,2646,28897,3327,2102,1546,8886,6431,14736,21444,18858,16477,5178,12039,11227,12392,5468,12196
hsa-miR-182-3p,2,4,1,8,0,11,3,6,4,6,16,2,20,5,18,0,1,5,0,7,2,4,7,18,0,0,5,1,13,4,22,3,2,11,1,0,1,8,6,14,4,7,2,1,6,3,6,1,2
hsa-miR-8085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4654,5,0,1,4,0,4,0,9,2,0,2,3,3,1,3,0,1,1,0,0,0,4,1,5,7,0,2,0,1,0,0,0,1,3,0,0,0,1,2,0,2,2,5,3,0,0,0,4,4
hsa-miR-6759-5p,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
hsa-miR-6759-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6508-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6508-3p,1,1,1,1,0,0,1,0,1,0,4,1,3,0,3,0,0,2,0,0,0,4,0,5,1,0,2,0,4,1,4,0,2,4,1,0,1,1,0,2,1,2,0,0,1,1,2,1,2
hsa-miR-6872-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6872-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-188-5p,0,0,1,1,1,3,0,1,2,1,5,0,3,0,2,0,1,1,0,1,0,3,0,4,0,3,2,1,2,0,2,0,2,4,1,2,0,5,0,0,0,4,0,0,0,5,2,0,2
hsa-miR-188-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-490-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
hsa-miR-490-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,2,1,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6748-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-6748-3p,2,0,0,3,0,5,1,0,2,3,0,1,4,2,1,0,0,4,1,5,1,2,0,2,1,1,1,0,3,1,1,0,0,2,0,0,0,3,1,4,4,7,2,2,2,1,4,0,1
hsa-miR-4728-5p,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4728-3p,10,1,3,3,4,8,13,4,9,5,1,6,6,1,2,0,0,2,2,2,0,0,3,2,1,4,2,1,5,0,4,3,1,2,2,2,1,8,5,6,4,9,2,5,6,5,8,0,1
hsa-miR-1251-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1251-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1276,5,4,2,2,0,1,6,1,1,0,1,1,3,2,6,0,3,1,1,2,1,7,0,6,2,0,12,2,12,2,11,1,3,6,2,2,2,1,0,6,3,7,4,2,1,7,2,2,1
hsa-miR-1199-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1199-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-628-5p,11,1,3,8,2,4,13,4,8,11,8,6,31,2,18,0,2,32,5,14,2,28,2,23,7,4,39,0,28,1,13,3,2,21,4,4,3,2,9,7,7,9,5,4,10,9,6,10,4
hsa-miR-628-3p,20,2,21,31,5,12,26,27,9,28,12,13,38,25,33,0,30,56,8,37,5,40,14,39,28,15,63,7,53,19,46,15,16,27,16,17,20,19,22,33,18,45,18,9,16,28,19,15,17
hsa-miR-654-5p,27,22,21,18,7,4,15,19,7,12,4,10,11,2,10,0,0,10,4,44,3,9,2,30,35,3,61,4,29,4,9,5,4,22,0,2,4,6,9,8,4,3,20,26,12,7,1,29,14
