,1_10115_88_S4,1_70008_mor_imp,10_40039_S11,10_90002_mor_det,11_10102_mor_det,11_40044_S12,12_20042_eve_det,12_40035_S13,13_10119_94_S14,13_90006_eve_det,14_10104_eve_det,14_40003_S15,15_40047_S16,15_Control_blood_9,16_10103_I1,16_Control_blood_11,17_10108_I2,17_Control_blood_12,18_10136_I3,18_Control_blood_13,19_10141_I4,19_Control_blood_14,2_10131_83_S5,2_40058_mor_imp,20_10155_I5,20_Control_blood_15,21_10181_I6,21_Control_blood_16,22_10100_D1,22_Control_blood_17,23_10116_D2,23_Control_blood_18,24_10145_D3,24_Control_blood_19,25_10146_D4,26_10156_D5,27_30057_D6,3_10166_mor_imp,3_10189_45_S6,4_10177_eve_imp,4_90003_S7,5_10171_eve_imp,5_40026_S8,6_30065_S9,6_40049_eve_imp,7_30040_mor_det,8_60004_mor_det,9_30053_mor_det,9_30074_50_S10
tRF-16-026ZEDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
tRF-16-04SXQ3E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
tRF-16-07QSNHD,,3,,2,6,,2,1,,3,2,,,2,,1,,2,,3,,1,,2,,1,,,,6,1,4,,2,1,1,,1,,,1,3,,1,3,1,,3,
tRF-16-08P2B5D,,,,,,,,,,,2,,,,,1,,,,2,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,
tRF-16-08P2F5D,,,2,,2,,1,1,,4,2,,,1,1,1,1,,,2,,2,,,1,,,,1,,,3,,1,,,,,,,1,1,1,,5,,1,2,1
tRF-16-08Q2B5D,130,111,347,170,159,25,515,226,406,117,407,190,207,117,140,683,67,180,53,317,102,249,147,130,89,22,34,119,30,163,106,795,40,271,47,29,52,61,357,115,147,153,160,61,393,36,295,321,527
tRF-16-08R959D,,,1,,,,1,,,,,,,,,,,1,,,,1,,,1,,1,1,1,,,1,,1,,,1,1,,,1,1,,,3,,,,
tRF-16-0L9RQ40,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-0P5830E,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
tRF-16-0PRMQ0E,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
tRF-16-0RSSX7D,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,
tRF-16-0UQ2B5D,,,,,,,2,,,1,1,,,,,,,,,,1,,,,,,,,,,,2,1,,,,,,1,,,,,,1,,,3,
tRF-16-0VL8K80,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
tRF-16-113KYUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
tRF-16-1293WEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tRF-16-12Z4R90,,,,,,,,,,,1,,,,,1,,,1,,,,,1,,,,,,1,,,,1,,,,,1,1,,,,2,1,,,1,
tRF-16-14PSR90,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-16MSRMB,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
tRF-16-17NSRJ0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-18V0LW0,,1,,1,1,,2,2,1,,,,1,1,,1,,,,,,,1,1,,1,,,,,,,,,2,,1,,,,,,,1,1,2,,1,1
tRF-16-1EWJQ7D,2,2,1,4,1,1,5,3,4,,6,1,6,8,6,26,2,6,3,9,2,7,2,3,,,,3,,12,3,12,1,4,5,,1,7,1,7,6,3,5,2,4,,6,3,5
tRF-16-1IQ4YUB,1,,2,,,,,,,,1,,1,,,1,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,2,
tRF-16-1LQH83D,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-1M3KYUE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
tRF-16-1MP34RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
tRF-16-1QKS3WD,,,3,,2,,1,1,,,1,,1,,,1,,4,,,,,,1,,1,,3,,,1,,,1,,1,,,,,1,,,,1,,,1,
tRF-16-1S91540,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,
tRF-16-1SS2P40,1,,1,,1,,,2,,,,1,,1,1,1,,,1,,,,1,,,,,1,,3,,1,,,,,,,,,1,,,,3,,,5,1
tRF-16-1SS2PMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
tRF-16-1Y0SR90,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-232WMKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
tRF-16-23W8WR0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tRF-16-245J7KE,2,5,9,5,6,1,3,3,11,3,3,5,3,4,4,4,7,11,1,4,5,5,5,7,2,14,2,6,2,3,3,10,4,13,3,,2,1,17,4,9,2,15,9,9,6,6,7,2
tRF-16-2E2WMKE,,,,1,,,,,,,,,,1,,,1,,,,,1,,,,1,,,,,,1,,,,2,,,1,,1,,,,,,,,
tRF-16-2E489BD,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
