m.name,n
hsa-miR-17-5p,10
hsa-miR-203a-3p,10
hsa-miR-20b-5p,10
hsa-miR-106b-5p,9
hsa-miR-1205,9
hsa-miR-1299,9
hsa-miR-20a-5p,9
hsa-miR-27a-3p,9
hsa-miR-590-3p,9
hsa-miR-940,9
hsa-miR-106a-5p,8
hsa-miR-125b-5p,8
hsa-miR-130a-3p,8
hsa-miR-185-5p,8
hsa-miR-27b-3p,8
hsa-miR-301a-3p,8
hsa-miR-301b-3p,8
hsa-miR-513a-3p,8
hsa-miR-515-5p,8
hsa-miR-519d-3p,8
hsa-miR-661,8
hsa-miR-765,8
hsa-miR-93-5p,8
hsa-miR-1207-5p,7
hsa-miR-1291,7
hsa-miR-130b-3p,7
hsa-miR-152-3p,7
hsa-miR-181a-5p,7
hsa-miR-181b-5p,7
hsa-miR-19b-3p,7
hsa-miR-22-3p,7
hsa-miR-320a,7
hsa-miR-370-3p,7
hsa-miR-450b-5p,7
hsa-miR-454-3p,7
hsa-miR-548c-5p,7
hsa-miR-548j-5p,7
hsa-miR-548l,7
hsa-miR-548n,7
hsa-miR-608,7
hsa-let-7b-3p,6
hsa-miR-124-3p,6
hsa-miR-1253,6
hsa-miR-142-5p,6
hsa-miR-148a-3p,6
hsa-miR-148b-3p,6
hsa-miR-181c-5p,6
hsa-miR-19a-3p,6
hsa-miR-21-5p,6
hsa-miR-214-3p,6
hsa-miR-221-3p,6
hsa-miR-222-3p,6
hsa-miR-223-3p,6
hsa-miR-23b-3p,6
hsa-miR-30a-3p,6
hsa-miR-320b,6
hsa-miR-494-3p,6
hsa-miR-507,6
hsa-miR-513a-5p,6
hsa-miR-520b,6
hsa-miR-520c-3p,6
hsa-miR-520d-3p,6
hsa-miR-526b-3p,6
hsa-miR-548d-5p,6
hsa-miR-548e-3p,6
hsa-miR-548h-5p,6
hsa-miR-548p,6
hsa-miR-587,6
hsa-miR-607,6
hsa-miR-625-5p,6
hsa-miR-629-3p,6
hsa-miR-650,6
hsa-miR-708-5p,6
hsa-miR-922,6
hsa-let-7a-3p,5
hsa-let-7f-1-3p,5
hsa-let-7f-2-3p,5
hsa-miR-1-3p,5
hsa-miR-1200,5
hsa-miR-1224-3p,5
hsa-miR-1237-3p,5
hsa-miR-125a-5p,5
hsa-miR-128-3p,5
hsa-miR-129-5p,5
hsa-miR-1305,5
hsa-miR-146a-5p,5
hsa-miR-146b-5p,5
hsa-miR-181d-5p,5
hsa-miR-183-5p,5
hsa-miR-186-5p,5
hsa-miR-193b-3p,5
hsa-miR-216a-5p,5
hsa-miR-23a-3p,5
hsa-miR-28-5p,5
hsa-miR-30c-5p,5
hsa-miR-30e-3p,5
hsa-miR-3120-3p,5
hsa-miR-320c,5
hsa-miR-328-3p,5
hsa-miR-329-3p,5
hsa-miR-338-5p,5
hsa-miR-33b-5p,5
hsa-miR-34a-5p,5
hsa-miR-372-3p,5
hsa-miR-373-3p,5
hsa-miR-374b-5p,5
hsa-miR-3916,5
hsa-miR-4295,5
hsa-miR-506-3p,5
hsa-miR-520a-3p,5
hsa-miR-520e,5
hsa-miR-520f-3p,5
hsa-miR-545-3p,5
hsa-miR-548a-3p,5
hsa-miR-548a-5p,5
hsa-miR-548b-5p,5
hsa-miR-548c-3p,5
hsa-miR-548f-3p,5
hsa-miR-548m,5
hsa-miR-548t-5p,5
hsa-miR-557,5
hsa-miR-582-3p,5
hsa-miR-582-5p,5
hsa-miR-600,5
hsa-miR-603,5
hsa-miR-616-5p,5
hsa-miR-7-1-3p,5
hsa-miR-873-5p,5
hsa-miR-874-3p,5
hsa-miR-875-3p,5
hsa-miR-9-5p,5
hsa-let-7a-5p,4
hsa-miR-101-3p,4
hsa-miR-105-5p,4
hsa-miR-1254,4
hsa-miR-1266-5p,4
hsa-miR-1272,4
hsa-miR-1275,4
hsa-miR-1290,4
hsa-miR-1296-5p,4
hsa-miR-1303,4
hsa-miR-1321,4
hsa-miR-134-5p,4
hsa-miR-135a-5p,4
hsa-miR-135b-5p,4
hsa-miR-138-5p,4
hsa-miR-144-3p,4
hsa-miR-146b-3p,4
hsa-miR-147a,4
hsa-miR-150-5p,4
hsa-miR-16-5p,4
hsa-miR-182-5p,4
hsa-miR-186-3p,4
hsa-miR-193a-3p,4
hsa-miR-195-5p,4
hsa-miR-21-3p,4
hsa-miR-302a-3p,4
hsa-miR-302c-5p,4
hsa-miR-3065-5p,4
hsa-miR-30a-5p,4
hsa-miR-30b-5p,4
hsa-miR-30d-3p,4
hsa-miR-30d-5p,4
hsa-miR-30e-5p,4
hsa-miR-3119,4
hsa-miR-3139,4
hsa-miR-3163,4
hsa-miR-3190-5p,4
hsa-miR-32-3p,4
hsa-miR-320d,4
hsa-miR-33a-5p,4
hsa-miR-342-3p,4
hsa-miR-342-5p,4
hsa-miR-362-3p,4
hsa-miR-3662,4
hsa-miR-3666,4
hsa-miR-374a-5p,4
hsa-miR-378a-3p,4
hsa-miR-485-5p,4
hsa-miR-488-3p,4
hsa-miR-493-3p,4
hsa-miR-495-3p,4
hsa-miR-499a-3p,4
hsa-miR-509-5p,4
hsa-miR-511-5p,4
hsa-miR-513b-5p,4
hsa-miR-516a-3p,4
hsa-miR-516b-3p,4
hsa-miR-519e-5p,4
hsa-miR-520a-5p,4
hsa-miR-520d-5p,4
hsa-miR-520g-3p,4
hsa-miR-532-3p,4
hsa-miR-548k,4
hsa-miR-548o-3p,4
hsa-miR-548w,4
hsa-miR-551b-5p,4
hsa-miR-561-3p,4
hsa-miR-568,4
hsa-miR-579-3p,4
hsa-miR-586,4
hsa-miR-589-3p,4
hsa-miR-612,4
hsa-miR-623,4
hsa-miR-642a-5p,4
hsa-miR-646,4
