MINTplate,n
tRF-40-PNR8YP9LON4VN1EH,14
tRF-35-86V8WPMN1E8Y7Z,12
tRF-30-Q1Q89P9L8422,11
tRF-26-OB1690PQR3E,10
tRF-30-9MVH7P59N3Z6,10
tRF-30-Q99P9P9NH57S,10
tRF-31-P4R8YP9LON4VD,10
tRF-34-86V8WPMN1E8Y2Q,10
tRF-24-R29P4P9LH9,9
tRF-33-86V8WPMN1E8Y0E,9
tRF-23-392J1Y0SDZ,8
tRF-29-34HWH3RXSIHM,8
tRF-30-5BF900BY4D84,8
tRF-33-86J8WPMN1E8Y0E,8
tRF-19-R29P4PJZ,7
tRF-22-5BF900BY3,7
tRF-22-WB8647O52,7
tRF-28-DBNIB9I1KQ0D,7
tRF-29-2OOIQO4QPR10,7
tRF-30-DBNIB9I1KQSX,7
tRF-30-JYSWRYVMMV5B,7
tRF-34-87R8WP9N1EWJI5,7
tRF-35-87R8WP9N1EWJQ7,7
tRF-40-87R8WP9N1EWJQ72S,7
tRF-19-5BF9000W,6
tRF-20-WD8YQ84V,6
tRF-21-WB0Q37Q5D,6
tRF-21-WD8YQ84VD,6
tRF-22-WD8S746D2,6
tRF-22-WD8YQ84V2,6
tRF-30-897PVP941QKS,6
tRF-30-9LON4VN1EH6K,6
tRF-30-KY7343RX6NMH,6
tRF-31-87R8WP9N1EWJ0,6
tRF-32-87R8WP9N1EWJM,6
tRF-32-KY7343RX6NMH3,6
tRF-33-87R8WP9I1EWJDW,6
tRF-33-87R8WP9N1EWJDW,6
tRF-18-8EKSP10J,5
tRF-19-DR2SN1E2,5
tRF-19-WB8647HU,5
tRF-20-593JK426,5
tRF-20-UJJKIWRN,5
tRF-21-40KK5Y93E,5
tRF-21-8EKSP185D,5
tRF-21-LEK58Y01B,5
tRF-21-LNK8KEP1B,5
tRF-21-LNK8KQP1B,5
tRF-21-WB8647O5D,5
tRF-21-YOHR6HFRD,5
tRF-22-8EKSP1852,5
tRF-22-8EKSPM852,5
tRF-22-V47P596V5,5
tRF-22-W0K672052,5
tRF-22-WB863IP52,5
tRF-22-WB86N7O52,5
tRF-22-WE8SP6X52,5
tRF-22-WE8SPOX52,5
tRF-23-S3M8309NS,5
tRF-23-YUYR66IFD2,5
tRF-28-9MV47P596V03,5
tRF-30-9MV47P596VW6,5
tRF-30-PSQP4PW3FJI0,5
tRF-30-WP9N1EWJQ72S,5
tRF-16-MBQ4NKD,4
tRF-16-PSQP4PE,4
tRF-16-Q01LQKB,4
tRF-16-Q2FWQ80,4
tRF-17-60MV9JJ,4
tRF-17-863IP52,4
tRF-17-8R6Q46J,4
tRF-17-KSPM852,4
tRF-17-MBQ4NKJ,4
