"","GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","weight"
"3","GO:0048525","negative regulation of viral process",31,21,10.98,13,"0.00022","0.00022"
"4","GO:0019221","cytokine-mediated signaling pathway",144,71,50.99,15,"0.00024","0.00024"
"5","GO:0035456","response to interferon-beta",14,11,4.96,18,"0.00119","0.00119"
"6","GO:1903829","positive regulation of cellular protein ...",34,21,12.04,19,"0.00140","0.00140"
"7","GO:0042180","cellular ketone metabolic process",33,20,11.69,28,"0.00253","0.00253"
"8","GO:0042102","positive regulation of T cell proliferat...",26,16,9.21,31,"0.00556","0.00556"
"9","GO:0051091","positive regulation of DNA-binding trans...",31,18,10.98,33,"0.00781","0.00781"
"10","GO:0035455","response to interferon-alpha",11,8,3.9,39,"0.01298","0.01298"
"11","GO:0072527","pyrimidine-containing compound metabolic...",11,8,3.9,40,"0.01298","0.01298"
"12","GO:0032481","positive regulation of type I interferon...",15,10,5.31,41,"0.01327","0.01327"
"13","GO:0046425","regulation of JAK-STAT cascade",15,10,5.31,42,"0.01327","0.01327"
"14","GO:0019674","NAD metabolic process",13,9,4.6,44,"0.01337","0.01337"
"15","GO:0033273","response to vitamin",13,9,4.6,45,"0.01337","0.01337"
"16","GO:0014070","response to organic cyclic compound",101,47,35.76,36,"0.01156","0.01346"
"17","GO:1901361","organic cyclic compound catabolic proces...",82,38,29.04,59,"0.02396","0.01509"
"18","GO:0003013","circulatory system process",50,24,17.71,99,"0.04289","0.01800"
"19","GO:0030029","actin filament-based process",87,37,30.81,182,"0.09615","0.01888"
"20","GO:0007160","cell-matrix adhesion",22,13,7.79,49,"0.01925","0.01925"
"21","GO:0032609","interferon-gamma production",22,13,7.79,50,"0.01925","0.01925"
"22","GO:0002831","regulation of response to biotic stimulu...",38,20,13.46,52,"0.02081","0.02081"
"23","GO:0019359","nicotinamide nucleotide biosynthetic pro...",18,11,6.37,56,"0.02266","0.02266"
"24","GO:0062013","positive regulation of small molecule me...",16,10,5.67,60,"0.02433","0.02433"
"25","GO:0032496","response to lipopolysaccharide",60,29,21.25,62,"0.02468","0.02468"
"26","GO:0032607","interferon-alpha production",14,9,4.96,63,"0.02584","0.02584"
"27","GO:1900180","regulation of protein localization to nu...",14,9,4.96,64,"0.02584","0.02584"
"28","GO:0050730","regulation of peptidyl-tyrosine phosphor...",34,18,12.04,66,"0.02593","0.02593"
"29","GO:0016525","negative regulation of angiogenesis",12,8,4.25,68,"0.02699","0.02699"
"30","GO:0042116","macrophage activation",12,8,4.25,69,"0.02699","0.02699"
"31","GO:0046660","female sex differentiation",12,8,4.25,70,"0.02699","0.02699"
"32","GO:0046700","heterocycle catabolic process",77,35,27.27,96,"0.04044","0.02736"
"33","GO:0032088","negative regulation of NF-kappaB transcr...",10,7,3.54,73,"0.02745","0.02745"
"34","GO:0045913","positive regulation of carbohydrate meta...",10,7,3.54,74,"0.02745","0.02745"
"35","GO:0019439","aromatic compound catabolic process",80,36,28.33,101,"0.04452","0.03143"
"36","GO:0034404","nucleobase-containing small molecule bio...",21,12,7.44,87,"0.03347","0.03347"
"37","GO:0120161","regulation of cold-induced thermogenesis",21,12,7.44,88,"0.03347","0.03347"
"38","GO:0044270","cellular nitrogen compound catabolic pro...",78,35,27.62,109,"0.04929","0.03507"
"39","GO:0010632","regulation of epithelial cell migration",28,15,9.91,93,"0.03614","0.03614"
"40","GO:0002221","pattern recognition receptor signaling p...",33,17,11.69,97,"0.04059","0.04059"
"41","GO:0006919","activation of cysteine-type endopeptidas...",13,8,4.6,106,"0.04879","0.04879"
"42","GO:1904375","regulation of protein localization to ce...",13,8,4.6,107,"0.04879","0.04879"
