"","GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","weight"
"6","GO:0001819","positive regulation of cytokine producti...",66,14,4.38,42,"6.0e-05","0.00017"
"7","GO:0032479","regulation of type I interferon producti...",29,8,1.93,52,"0.00039","0.00039"
"8","GO:0001818","negative regulation of cytokine producti...",51,11,3.39,51,"0.00034","0.00057"
"9","GO:0009617","response to bacterium",95,18,6.31,35,"2.5e-05","0.00059"
"10","GO:0045087","innate immune response",151,38,10.03,1,"9.1e-15","0.00197"
"11","GO:0098586","cellular response to virus",15,5,1,65,"0.00208","0.00208"
"12","GO:0046683","response to organophosphorus",22,6,1.46,68,"0.00233","0.00233"
"13","GO:0002753","cytoplasmic pattern recognition receptor...",10,4,0.66,70,"0.00284","0.00284"
"14","GO:0048661","positive regulation of smooth muscle cel...",16,5,1.06,72,"0.00286","0.00286"
"15","GO:0060760","positive regulation of response to cytok...",16,5,1.06,73,"0.00286","0.00286"
"16","GO:0014074","response to purine-containing compound",23,6,1.53,75,"0.00299","0.00299"
"17","GO:0032649","regulation of interferon-gamma productio...",17,5,1.13,80,"0.00384","0.00384"
"18","GO:0016525","negative regulation of angiogenesis",12,4,0.8,88,"0.00603","0.00603"
"19","GO:0034446","substrate adhesion-dependent cell spread...",13,4,0.86,93,"0.00827","0.00827"
"20","GO:0032496","response to lipopolysaccharide",46,8,3.06,96,"0.00917","0.00917"
"21","GO:0009063","cellular amino acid catabolic process",14,4,0.93,100,"0.01099","0.01099"
"22","GO:0031349","positive regulation of defense response",58,11,3.85,61,"0.00109","0.01236"
"23","GO:0002576","platelet degranulation",22,5,1.46,102,"0.01252","0.01252"
"24","GO:0010469","regulation of signaling receptor activit...",49,8,3.26,103,"0.01340","0.01340"
"25","GO:0070887","cellular response to chemical stimulus",404,54,26.84,19,"6.2e-09","0.01563"
"26","GO:0030168","platelet activation",32,6,2.13,111,"0.01641","0.01641"
"27","GO:0034109","homotypic cell-cell adhesion",16,4,1.06,112,"0.01802","0.01802"
"28","GO:0050731","positive regulation of peptidyl-tyrosine...",25,5,1.66,117,"0.02152","0.02152"
"29","GO:0048469","cell maturation",17,4,1.13,118,"0.02238","0.02238"
"30","GO:0097696","STAT cascade",17,4,1.13,119,"0.02238","0.02356"
"31","GO:0043330","response to exogenous dsRNA",10,3,0.66,123,"0.02429","0.02429"
"32","GO:0071695","anatomical structure maturation",18,4,1.2,127,"0.02734","0.02734"
"33","GO:0050680","negative regulation of epithelial cell p...",19,4,1.26,139,"0.03290","0.03290"
"34","GO:0007267","cell-cell signaling",146,11,9.7,649,"0.37575","0.03503"
"35","GO:0001936","regulation of endothelial cell prolifera...",20,4,1.33,145,"0.03907","0.03907"
"36","GO:0006906","vesicle fusion",20,4,1.33,146,"0.03907","0.03907"
"37","GO:0007160","cell-matrix adhesion",20,4,1.33,147,"0.03907","0.03907"
"38","GO:0030856","regulation of epithelial cell differenti...",12,3,0.8,151,"0.04041","0.04041"
"39","GO:0034113","heterotypic cell-cell adhesion",12,3,0.8,152,"0.04041","0.04041"
"40","GO:0042130","negative regulation of T cell proliferat...",12,3,0.8,153,"0.04041","0.04041"
"41","GO:0051668","localization within membrane",12,3,0.8,154,"0.04041","0.04041"
