"","GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","weight"
"5","GO:0002831","regulation of response to biotic stimulu...",35,19,8.9,21,"0.00022","0.00022"
"6","GO:0035456","response to interferon-beta",16,11,4.07,24,"0.00031","0.00031"
"7","GO:0019674","NAD metabolic process",12,9,3.05,29,"0.00043","0.00043"
"8","GO:0035455","response to interferon-alpha",11,8,2.8,37,"0.00129","0.00129"
"9","GO:1903829","positive regulation of cellular protein ...",31,16,7.88,38,"0.00143","0.00143"
"10","GO:0032496","response to lipopolysaccharide",48,22,12.2,39,"0.00150","0.00150"
"11","GO:0048511","rhythmic process",19,11,4.83,44,"0.00250","0.00250"
"12","GO:0030334","regulation of cell migration",76,30,19.32,61,"0.00411","0.00336"
"13","GO:0048469","cell maturation",17,10,4.32,51,"0.00338","0.00338"
"14","GO:0042102","positive regulation of T cell proliferat...",20,11,5.08,62,"0.00431","0.00431"
"15","GO:0030029","actin filament-based process",63,23,16.01,177,"0.03114","0.00541"
"16","GO:0032481","positive regulation of type I interferon...",18,10,4.58,74,"0.00591","0.00591"
"17","GO:0042180","cellular ketone metabolic process",32,15,8.13,77,"0.00656","0.00656"
"18","GO:0042509","regulation of tyrosine phosphorylation o...",11,7,2.8,85,"0.00815","0.00815"
"19","GO:0048661","positive regulation of smooth muscle cel...",11,7,2.8,86,"0.00815","0.00815"
"20","GO:1903409","reactive oxygen species biosynthetic pro...",11,7,2.8,87,"0.00815","0.00815"
"21","GO:1990778","protein localization to cell periphery",27,13,6.86,90,"0.00853","0.00853"
"22","GO:0070372","regulation of ERK1 and ERK2 cascade",30,14,7.63,92,"0.00898","0.00898"
"23","GO:0002221","pattern recognition receptor signaling p...",33,15,8.39,94,"0.00928","0.00928"
"24","GO:0019359","nicotinamide nucleotide biosynthetic pro...",19,10,4.83,95,"0.00970","0.00970"
"25","GO:0060429","epithelium development",91,35,23.13,50,"0.00332","0.01032"
"26","GO:0065009","regulation of molecular function",331,111,84.14,20,"0.00014","0.01133"
"27","GO:0032649","regulation of interferon-gamma productio...",17,9,4.32,118,"0.01344","0.01344"
"28","GO:0045088","regulation of innate immune response",83,32,21.1,66,"0.00473","0.01513"
"29","GO:0044106","cellular amine metabolic process",12,7,3.05,127,"0.01533","0.01533"
"30","GO:0046427","positive regulation of JAK-STAT cascade",12,7,3.05,128,"0.01533","0.01533"
"31","GO:1900180","regulation of protein localization to nu...",12,7,3.05,129,"0.01533","0.01533"
"32","GO:0042133","neurotransmitter metabolic process",15,8,3.81,140,"0.01868","0.01868"
"33","GO:0071347","cellular response to interleukin-1",15,8,3.81,141,"0.01868","0.01868"
"34","GO:1901655","cellular response to ketone",10,6,2.54,146,"0.02109","0.02109"
"35","GO:0003013","circulatory system process",42,17,10.68,150,"0.02176","0.02176"
"36","GO:0050731","positive regulation of peptidyl-tyrosine...",21,10,5.34,152,"0.02242","0.02242"
"37","GO:1901361","organic cyclic compound catabolic proces...",92,32,23.39,162,"0.02545","0.02324"
"38","GO:0007568","aging",24,11,6.1,156,"0.02326","0.02326"
"39","GO:0007186","G protein-coupled receptor signaling pat...",65,24,16.52,160,"0.02432","0.02432"
"40","GO:0071407","cellular response to organic cyclic comp...",59,22,15,166,"0.02713","0.02844"
"41","GO:0006766","vitamin metabolic process",16,8,4.07,171,"0.02925","0.02925"
"42","GO:0009063","cellular amino acid catabolic process",16,8,4.07,172,"0.02925","0.02925"
"43","GO:0051100","negative regulation of binding",19,9,4.83,173,"0.03110","0.03110"
"44","GO:0120161","regulation of cold-induced thermogenesis",19,9,4.83,174,"0.03110","0.03110"
"45","GO:0007267","cell-cell signaling",115,35,29.23,367,"0.12245","0.03113"
"46","GO:0001667","ameboidal-type cell migration",34,13,8.64,247,"0.06653","0.03244"
"47","GO:1902533","positive regulation of intracellular sig...",130,48,33.05,41,"0.00168","0.03575"
"48","GO:0032732","positive regulation of interleukin-1 pro...",11,6,2.8,191,"0.03662","0.03662"
"49","GO:0035725","sodium ion transmembrane transport",11,6,2.8,192,"0.03662","0.03662"
"50","GO:0043331","response to dsRNA",11,6,2.8,193,"0.03662","0.03662"
"51","GO:0019439","aromatic compound catabolic process",91,31,23.13,194,"0.03693","0.03738"
"52","GO:0097696","STAT cascade",20,12,5.08,33,"0.00103","0.03818"
"53","GO:0044270","cellular nitrogen compound catabolic pro...",88,30,22.37,199,"0.03938","0.03954"
"54","GO:0046700","heterocycle catabolic process",88,30,22.37,200,"0.03938","0.03954"
"55","GO:0071695","anatomical structure maturation",14,7,3.56,204,"0.04101","0.04101"
"56","GO:0048878","chemical homeostasis",119,37,30.25,299,"0.08814","0.04240"
"57","GO:0006919","activation of cysteine-type endopeptidas...",17,8,4.32,210,"0.04330","0.04330"
"58","GO:0007040","lysosome organization",17,8,4.32,211,"0.04330","0.04330"
"59","GO:0007173","epidermal growth factor receptor signali...",17,8,4.32,212,"0.04330","0.04330"
"60","GO:0001818","negative regulation of cytokine producti...",55,20,13.98,217,"0.04474","0.04720"
