"","GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","weight"
"1","GO:0051607","defense response to virus",44,10,2.72,3,"0.00022","0.00022"
"2","GO:0019221","cytokine-mediated signaling pathway",110,16,6.8,7,"0.00078","0.00078"
"3","GO:0035270","endocrine system development",10,4,0.62,14,"0.00217","0.00217"
"4","GO:0006511","ubiquitin-dependent protein catabolic pr...",74,11,4.57,23,"0.00460","0.00255"
"5","GO:0042102","positive regulation of T cell proliferat...",17,5,1.05,16,"0.00279","0.00279"
"6","GO:0000209","protein polyubiquitination",42,8,2.6,19,"0.00330","0.00330"
"7","GO:0034341","response to interferon-gamma",42,8,2.6,20,"0.00330","0.00330"
"8","GO:0002831","regulation of response to biotic stimulu...",18,5,1.11,21,"0.00368","0.00368"
"9","GO:0045786","negative regulation of cell cycle",70,10,4.33,46,"0.00913","0.00377"
"10","GO:0050658","RNA transport",31,6,1.92,47,"0.01000","0.00450"
"11","GO:0006513","protein monoubiquitination",13,4,0.8,33,"0.00638","0.00638"
"12","GO:0045071","negative regulation of viral genome repl...",14,4,0.87,44,"0.00852","0.00852"
"13","GO:0071347","cellular response to interleukin-1",14,4,0.87,45,"0.00852","0.00852"
"14","GO:0016032","viral process",108,15,6.67,13,"0.00187","0.02017"
"15","GO:0043900","regulation of multi-organism process",53,11,3.28,4,"0.00025","0.02490"
"16","GO:1902533","positive regulation of intracellular sig...",110,14,6.8,31,"0.00609","0.02562"
"17","GO:0034097","response to cytokine",156,23,9.64,2,"3.6e-05","0.02828"
"18","GO:0001819","positive regulation of cytokine producti...",61,8,3.77,84,"0.03091","0.03091"
"19","GO:0030855","epithelial cell differentiation",57,8,3.52,68,"0.02130","0.03321"
"20","GO:0032663","regulation of interleukin-2 production",12,3,0.74,88,"0.03352","0.03352"
"21","GO:0035264","multicellular organism growth",12,3,0.74,89,"0.03352","0.03352"
"22","GO:0051865","protein autoubiquitination",12,3,0.74,90,"0.03352","0.03352"
"23","GO:0044265","cellular macromolecule catabolic process",148,20,9.15,5,"0.00044","0.03562"
"24","GO:0018107","peptidyl-threonine phosphorylation",13,3,0.8,102,"0.04166","0.04166"
"25","GO:0048469","cell maturation",13,3,0.8,103,"0.04166","0.04166"
"26","GO:0032103","positive regulation of response to exter...",32,5,1.98,107,"0.04336","0.04336"
"27","GO:0008285","negative regulation of cell proliferatio...",80,10,4.94,72,"0.02248","0.04750"
