"","GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","weight"
"2","GO:0010594","regulation of endothelial cell migration",20,5,0.87,2,"0.0012","0.0012"
"3","GO:0006939","smooth muscle contraction",13,4,0.56,3,"0.0017","0.0017"
"4","GO:0090257","regulation of muscle system process",28,5,1.21,12,"0.0060","0.0060"
"5","GO:0002478","antigen processing and presentation of e...",20,4,0.87,19,"0.0093","0.0093"
"6","GO:0016358","dendrite development",20,4,0.87,20,"0.0093","0.0093"
"7","GO:0016525","negative regulation of angiogenesis",11,3,0.48,23,"0.0100","0.0100"
"8","GO:0022904","respiratory electron transport chain",11,3,0.48,24,"0.0100","0.0100"
"9","GO:0048041","focal adhesion assembly",11,3,0.48,25,"0.0100","0.0100"
"10","GO:0002040","sprouting angiogenesis",12,3,0.52,35,"0.0130","0.0130"
"11","GO:0030193","regulation of blood coagulation",12,3,0.52,36,"0.0130","0.0130"
"12","GO:0046034","ATP metabolic process",23,4,1,47,"0.0154","0.0154"
"13","GO:0006898","receptor-mediated endocytosis",35,5,1.52,48,"0.0156","0.0156"
"14","GO:0001936","regulation of endothelial cell prolifera...",13,3,0.56,49,"0.0163","0.0163"
"15","GO:1902600","proton transmembrane transport",13,3,0.56,50,"0.0163","0.0163"
"16","GO:0050900","leukocyte migration",60,6,2.6,97,"0.0421","0.0196"
"17","GO:0097305","response to alcohol",25,4,1.08,57,"0.0206","0.0206"
"18","GO:0043434","response to peptide hormone",43,5,1.86,86,"0.0355","0.0264"
"19","GO:0007611","learning or memory",27,4,1.17,71,"0.0267","0.0267"
"20","GO:0051048","negative regulation of secretion",29,4,1.26,83,"0.0339","0.0287"
"21","GO:0007584","response to nutrient",16,3,0.69,74,"0.0291","0.0291"
"22","GO:0034622","cellular protein-containing complex asse...",115,10,4.98,62,"0.0235","0.0293"
"23","GO:0051897","positive regulation of protein kinase B ...",18,3,0.78,92,"0.0399","0.0399"
"24","GO:0050730","regulation of peptidyl-tyrosine phosphor...",31,4,1.34,98,"0.0421","0.0421"
"25","GO:0016571","histone methylation",19,3,0.82,105,"0.0460","0.0460"
