"","GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","weight"
"4","GO:0035456","response to interferon-beta",16,6,0.86,16,"0.00011","0.00011"
"5","GO:0071346","cellular response to interferon-gamma",66,12,3.57,17,"0.00014","0.00014"
"6","GO:0035455","response to interferon-alpha",13,5,0.7,20,"0.00038","0.00038"
"7","GO:0007005","mitochondrion organization",63,9,3.4,40,"0.00563","0.00563"
"8","GO:0042775","mitochondrial ATP synthesis coupled elec...",15,4,0.81,42,"0.00691","0.00691"
"9","GO:0050691","regulation of defense response to virus ...",15,4,0.81,43,"0.00691","0.00691"
"10","GO:0070670","response to interleukin-4",15,4,0.81,44,"0.00691","0.00691"
"11","GO:0046427","positive regulation of JAK-STAT cascade",16,4,0.86,48,"0.00883","0.00883"
"12","GO:0032069","regulation of nuclease activity",10,3,0.54,53,"0.01392","0.01392"
"13","GO:0045648","positive regulation of erythrocyte diffe...",10,3,0.54,54,"0.01392","0.01392"
"14","GO:0010469","regulation of signaling receptor activit...",38,6,2.05,55,"0.01443","0.01443"
"15","GO:0097696","STAT cascade",32,7,1.73,28,"0.00120","0.02175"
"16","GO:0008285","negative regulation of cell proliferatio...",95,10,5.13,69,"0.02891","0.02356"
"17","GO:0033273","response to vitamin",12,3,0.65,58,"0.02358","0.02358"
"18","GO:0050806","positive regulation of synaptic transmis...",12,3,0.65,59,"0.02358","0.02358"
"19","GO:0001936","regulation of endothelial cell prolifera...",21,4,1.13,61,"0.02360","0.02360"
"20","GO:0051100","negative regulation of binding",32,5,1.73,64,"0.02618","0.02618"
"21","GO:0043393","regulation of protein binding",44,6,2.38,67,"0.02840","0.02840"
"22","GO:0042157","lipoprotein metabolic process",13,3,0.7,70,"0.02947","0.02947"
"23","GO:0046677","response to antibiotic",56,7,3.03,68,"0.02844","0.04050"
"24","GO:0048167","regulation of synaptic plasticity",15,3,0.81,88,"0.04336","0.04336"
"25","GO:0009617","response to bacterium",125,11,6.75,108,"0.06919","0.04399"
"26","GO:0002576","platelet degranulation",37,5,2,89,"0.04582","0.04582"
"27","GO:0009410","response to xenobiotic stimulus",26,4,1.41,93,"0.04798","0.04798"
