"","GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","weight"
"9","GO:0006954","inflammatory response",97,15,4.99,54,"7.3e-05","0.00013"
"10","GO:0042981","regulation of apoptotic process",217,25,11.16,44,"4.5e-05","0.00018"
"11","GO:0051241","negative regulation of multicellular org...",153,19,7.87,61,"0.00017","0.00029"
"12","GO:0032963","collagen metabolic process",14,5,0.72,82,"0.00045","0.00045"
"13","GO:0046718","viral entry into host cell",21,6,1.08,83,"0.00046","0.00046"
"14","GO:0030198","extracellular matrix organization",29,7,1.49,85,"0.00047","0.00047"
"15","GO:0050663","cytokine secretion",36,9,1.85,45,"5.1e-05","0.00068"
"16","GO:0051048","negative regulation of secretion",32,7,1.65,98,"0.00089","0.00089"
"17","GO:0007186","G protein-coupled receptor signaling pat...",52,9,2.67,100,"0.00100","0.00100"
"18","GO:0032101","regulation of response to external stimu...",99,16,5.09,33,"2.3e-05","0.00113"
"19","GO:0002479","antigen processing and presentation of e...",17,5,0.87,106,"0.00122","0.00122"
"20","GO:1901136","carbohydrate derivative catabolic proces...",42,8,2.16,101,"0.00101","0.00126"
"21","GO:0070228","regulation of lymphocyte apoptotic proce...",12,4,0.62,130,"0.00236","0.00236"
"22","GO:0010038","response to metal ion",48,8,2.47,133,"0.00249","0.00249"
"23","GO:0050671","positive regulation of lymphocyte prolif...",20,5,1.03,138,"0.00271","0.00271"
"24","GO:0008630","intrinsic apoptotic signaling pathway in...",14,4,0.72,163,"0.00441","0.00441"
"25","GO:0071236","cellular response to antibiotic",23,5,1.18,169,"0.00519","0.00519"
"26","GO:0046635","positive regulation of alpha-beta T cell...",16,4,0.82,182,"0.00740","0.00740"
"27","GO:1904064","positive regulation of cation transmembr...",16,4,0.82,183,"0.00740","0.00740"
"28","GO:0001776","leukocyte homeostasis",25,5,1.29,184,"0.00756","0.00756"
"29","GO:0070555","response to interleukin-1",25,5,1.29,185,"0.00756","0.00756"
"30","GO:0007565","female pregnancy",26,5,1.34,200,"0.00898","0.00898"
"31","GO:0030218","erythrocyte differentiation",17,4,0.87,207,"0.00931","0.00931"
"32","GO:1901222","regulation of NIK/NF-kappaB signaling",17,4,0.87,208,"0.00931","0.00931"
"33","GO:0006898","receptor-mediated endocytosis",48,7,2.47,213,"0.00988","0.00988"
"34","GO:0043123","positive regulation of I-kappaB kinase/N...",48,7,2.47,214,"0.00988","0.00988"
"35","GO:0048771","tissue remodeling",27,5,1.39,219,"0.01058","0.01058"
"36","GO:0009617","response to bacterium",83,10,4.27,194,"0.00850","0.01159"
"37","GO:0032731","positive regulation of interleukin-1 bet...",10,3,0.51,226,"0.01213","0.01213"
"38","GO:0062013","positive regulation of small molecule me...",10,3,0.51,227,"0.01213","0.01213"
"39","GO:0042542","response to hydrogen peroxide",28,5,1.44,232,"0.01237","0.01237"
"40","GO:0044092","negative regulation of molecular functio...",149,16,7.66,144,"0.00292","0.01360"
"41","GO:0010595","positive regulation of endothelial cell ...",19,4,0.98,239,"0.01400","0.01400"
"42","GO:0051208","sequestering of calcium ion",19,4,0.98,240,"0.01400","0.01429"
"43","GO:0045807","positive regulation of endocytosis",29,5,1.49,243,"0.01435","0.01435"
"44","GO:0050706","regulation of interleukin-1 beta secreti...",11,3,0.57,251,"0.01607","0.01607"
"45","GO:0032760","positive regulation of tumor necrosis fa...",20,4,1.03,258,"0.01683","0.01683"
"46","GO:0045582","positive regulation of T cell differenti...",20,4,1.03,259,"0.01683","0.01683"
"47","GO:0043901","negative regulation of multi-organism pr...",25,7,1.29,62,"0.00017","0.01874"
"48","GO:0042060","wound healing",65,9,3.34,167,"0.00499","0.02048"
"49","GO:0032414","positive regulation of ion transmembrane...",12,3,0.62,272,"0.02064","0.02064"
"50","GO:0071621","granulocyte chemotaxis",12,3,0.62,273,"0.02064","0.02064"
"51","GO:1901565","organonitrogen compound catabolic proces...",230,20,11.82,218,"0.01038","0.02111"
"52","GO:0070372","regulation of ERK1 and ERK2 cascade",32,5,1.65,279,"0.02155","0.02155"
"53","GO:0043069","negative regulation of programmed cell d...",138,14,7.09,205,"0.00904","0.02374"
"54","GO:0006955","immune response",391,49,20.1,1,"1.5e-11","0.02376"
"55","GO:0071356","cellular response to tumor necrosis fact...",33,5,1.7,291,"0.02439","0.02439"
"56","GO:0010811","positive regulation of cell-substrate ad...",13,3,0.67,297,"0.02585","0.02585"
"57","GO:0043370","regulation of CD4-positive, alpha-beta T...",13,3,0.67,298,"0.02585","0.02585"
"58","GO:0070231","T cell apoptotic process",13,3,0.67,299,"0.02585","0.02585"
"59","GO:1903034","regulation of response to wounding",23,4,1.18,307,"0.02734","0.02734"
"60","GO:0097237","cellular response to toxic substance",34,5,1.75,314,"0.02746","0.02746"
"61","GO:0001910","regulation of leukocyte mediated cytotox...",14,3,0.72,324,"0.03170","0.03170"
"62","GO:0021987","cerebral cortex development",14,3,0.72,325,"0.03170","0.03170"
"63","GO:0045637","regulation of myeloid cell differentiati...",48,6,2.47,337,"0.03359","0.03359"
"64","GO:0000209","protein polyubiquitination",49,6,2.52,356,"0.03673","0.03673"
"65","GO:0001501","skeletal system development",49,6,2.52,357,"0.03673","0.03673"
"66","GO:0002709","regulation of T cell mediated immunity",15,3,0.77,361,"0.03818","0.03818"
"67","GO:0006342","chromatin silencing",15,3,0.77,362,"0.03818","0.03818"
