"","GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","weight"
"1","GO:0033273","response to vitamin",12,4,0.61,1,"0.0023","0.0023"
"2","GO:0002576","platelet degranulation",31,6,1.57,4,"0.0038","0.0038"
"3","GO:0042775","mitochondrial ATP synthesis coupled elec...",14,4,0.71,5,"0.0042","0.0042"
"4","GO:0030324","lung development",17,4,0.86,14,"0.0089","0.0089"
"5","GO:0008037","cell recognition",18,4,0.91,17,"0.0110","0.0110"
"6","GO:0009410","response to xenobiotic stimulus",28,5,1.42,20,"0.0117","0.0117"
"7","GO:0042445","hormone metabolic process",19,4,0.96,22,"0.0134","0.0134"
"8","GO:0070527","platelet aggregation",19,4,0.96,23,"0.0134","0.0134"
"9","GO:0046677","response to antibiotic",53,7,2.69,25,"0.0157","0.0157"
"10","GO:0060348","bone development",31,5,1.57,29,"0.0180","0.0180"
"11","GO:0001503","ossification",43,6,2.18,32,"0.0194","0.0194"
"12","GO:0048705","skeletal system morphogenesis",22,4,1.12,33,"0.0225","0.0225"
"13","GO:0019915","lipid storage",13,3,0.66,37,"0.0250","0.0250"
"14","GO:0060996","dendritic spine development",13,3,0.66,38,"0.0250","0.0250"
"15","GO:0099173","postsynapse organization",14,3,0.71,40,"0.0307","0.0307"
"16","GO:0060271","cilium assembly",25,4,1.27,43,"0.0347","0.0347"
"17","GO:0061448","connective tissue development",25,4,1.27,44,"0.0347","0.0347"
"18","GO:0006325","chromatin organization",113,10,5.74,65,"0.0559","0.0356"
"19","GO:0051604","protein maturation",37,5,1.88,45,"0.0364","0.0364"
"20","GO:0010595","positive regulation of endothelial cell ...",15,3,0.76,46,"0.0370","0.0370"
"21","GO:0070670","response to interleukin-4",15,3,0.76,47,"0.0370","0.0370"
"22","GO:0007507","heart development",50,6,2.54,48,"0.0380","0.0396"
"23","GO:0007160","cell-matrix adhesion",38,5,1.93,52,"0.0402","0.0402"
"24","GO:0060359","response to ammonium ion",16,3,0.81,56,"0.0439","0.0439"
"25","GO:0030198","extracellular matrix organization",39,5,1.98,57,"0.0444","0.0444"
"26","GO:0009636","response to toxic substance",81,8,4.11,59,"0.0492","0.0458"
"27","GO:0045596","negative regulation of cell differentiat...",81,9,4.11,30,"0.0190","0.0498"
