ensg,symbol,cluster,n,pval,padj,de_padj,de_baseMean,de_logFC,de_countChange
ENSG00000007168,PAFAH1B1,cluster4,19,1.15493149344333e-11,2.86230521791706e-08,0.985275133672017,5902.72376380681,0.00790078815766052,32.4144060164399
ENSG00000081189,MEF2C,cluster2,16,0.000380581481231832,0.01096753222077,0.730182656838538,2097.44541630919,-0.0595438688387038,-84.8050582740368
ENSG00000125398,SOX9,cluster2,14,2.28100370678432e-05,0.00174837758349912,NA,NA,NA,NA
ENSG00000073756,PTGS2,cluster6,14,0.000747230629920664,0.0190709627889574,0.98770616519113,1162.78380847055,0.00309110622874857,2.49404168481033
ENSG00000168214,RBPJ,cluster2,12,9.7780874989845e-06,0.000886586348231095,0.276562142008587,4921.62399569723,0.217557897206734,801.061568980451
ENSG00000113302,IL12B,cluster3,12,1.8101621647421e-09,8.41159730928593e-07,NA,NA,NA,NA
ENSG00000099250,NRP1,cluster4,12,4.06759384571298e-07,8.17366493050703e-05,0.529843483307293,139.437387547661,-0.0894026806360121,-8.37853876152931
ENSG00000132356,PRKAA1,cluster6,12,0.000282843291573973,0.00974677847512405,0.972732740640084,2976.02316816042,-0.0117566849140991,-24.1534010287237
ENSG00000135679,MDM2,cluster6,12,0.000714279483936248,0.0186339226774246,0.746061688835369,1778.13035475126,0.0564787028468854,70.9908530618475
ENSG00000171791,BCL2,cluster2,11,0.0228221373213263,0.142710337244795,0.365200036851302,3500.17801736793,0.12835903976154,325.690618408612
ENSG00000096717,SIRT1,cluster6,11,0.121523764604009,0.300275569900568,0.948364165058342,1309.33851444999,0.0187443650767645,17.1227099876428
ENSG00000116044,NFE2L2,cluster6,11,0.000302506485591299,0.010223344183506,0.804763815783689,3653.49979941998,-0.0559702190323062,-139.02548962887
ENSG00000141510,TP53,cluster6,11,0.00399630433344192,0.0534605294252572,0.961909592321133,1807.53913051968,-0.0111962162969019,-13.973343660243
ENSG00000150907,FOXO1,cluster6,11,8.90561172239882e-06,0.00082766528945044,0.229692329916815,2237.90289796769,0.217496179049138,364.13796491024
ENSG00000171862,PTEN,cluster6,11,0.0485910832098617,0.185840896947182,0.978800550445911,12051.7201762387,0.0087432775501449,73.2597486871691
ENSG00000017427,IGF1,cluster2,10,0.00415188979652346,0.0534605294252572,0.43325696158443,12.6257350071499,-0.0875566142897544,-0.74346264973124
ENSG00000171862,PTEN,cluster2,10,0.0897582938705835,0.240979277706466,0.978800550445911,12051.7201762387,0.0087432775501449,73.2597486871691
ENSG00000136869,TLR4,cluster3,10,8.52903024055589e-06,0.000802700504285229,0.96285349283232,8282.81951582545,-0.0136134674139237,-77.7902192440943
ENSG00000067560,RHOA,cluster4,10,0.00052640473518224,0.0146809365480873,0.999850998364429,22678.5058322771,0.000107512053084453,1.69010324837291
ENSG00000036828,CASR,cluster6,10,7.90809002147511e-05,0.00397274657497753,NA,NA,NA,NA
ENSG00000118689,FOXO3,cluster6,10,1.39484490426332e-05,0.00117848543899975,0.684064474859816,3909.39989779216,0.0755321589081928,210.128895998508
ENSG00000120738,EGR1,cluster6,10,0.00148137610787673,0.0273277643249306,0.99415010575099,126.817380103302,0.00276952240173932,0.243683453945621
ENSG00000145545,SRD5A1,cluster6,10,1.29932646563066e-06,0.00021401306048395,0.0369376698967564,569.464352530818,-0.430246971100239,-146.845078802731
ENSG00000198793,MTOR,cluster6,10,0.134243257316325,0.300542895173461,0.782989171541158,1998.82822918318,-0.0596153714513645,-80.9127720831493
ENSG00000090905,TNRC6A,cluster1,9,1.13201784891506e-11,2.86230521791706e-08,0.72038531223025,2107.00828006222,-0.0719551425788246,-102.510470386022
ENSG00000132475,H3F3B,cluster1,9,1.13201784891506e-11,2.86230521791706e-08,0.763803666058742,27492.8262174857,-0.0661483913746806,-1232.09969911371
ENSG00000096717,SIRT1,cluster10,9,0.00151723028644939,0.0273277643249306,0.948364165058342,1309.33851444999,0.0187443650767645,17.1227099876428
ENSG00000078401,EDN1,cluster2,9,0.172456054118264,0.307230984229755,0.864624543101456,21.0481594525532,0.0257832127731523,0.379544898649051
ENSG00000092969,TGFB2,cluster2,9,0.000826131219059764,0.0190709627889574,NA,NA,NA,NA
ENSG00000105329,TGFB1,cluster2,9,0.0486837672980581,0.186099645172782,0.949147198497971,10765.0037519311,-0.0177099200507287,-131.33889722033
ENSG00000163513,TGFBR2,cluster2,9,5.05350795942229e-06,0.000587075494973511,0.118983225224747,10712.4770620396,0.280312991124288,2297.37995411232
ENSG00000183691,NOG,cluster2,9,1.71109933647137e-05,0.00139802456776535,0.272992822528218,101.868631292427,0.0283485600139791,2.02148631632542
ENSG00000117586,TNFSF4,cluster3,9,0.00046583777653672,0.0132194804143149,0.231253933590331,264.602836599317,0.130287342960684,25.008057163745
ENSG00000136244,IL6,cluster3,9,0.000223477287480033,0.00843428239804084,NA,NA,NA,NA
ENSG00000168040,FADD,cluster3,9,3.53709845270307e-05,0.0022286717793091,0.400486522060364,961.66827196515,0.151904125584337,106.7787329945
ENSG00000114251,WNT5A,cluster4,9,0.00833924714918201,0.0832814090333512,NA,NA,NA,NA
ENSG00000189056,RELN,cluster4,9,4.2524775703526e-05,0.00252585518272434,NA,NA,NA,NA
ENSG00000198793,MTOR,cluster4,9,0.0822354324120519,0.240979277706466,0.782989171541158,1998.82822918318,-0.0596153714513645,-80.9127720831493
ENSG00000119772,DNMT3A,cluster6,9,5.72731572771824e-05,0.00313107297320479,0.0261801466698427,1493.57290137132,0.399898594931666,477.06983864345
ENSG00000132170,PPARG,cluster6,9,0.055449569646173,0.203388036664675,0.630828903051229,28.0524395304777,0.0477391554533981,0.94379158412519
ENSG00000165699,TSC1,cluster6,9,0.00166889064722437,0.0288562836328213,0.767646209621383,1570.60286466712,0.0647671483867093,72.1159815151866
