"name","cluster"
"tRF-16-08P2F5D","1"
"tRF-16-08Q2B5D","2"
"tRF-16-3JWB61B","3"
"tRF-16-3KMB01B","2"
"tRF-16-3KXR3RB","2"
"tRF-16-3VLIE1B","4"
"tRF-16-3VWIQ1B","4"
"tRF-16-489B3RB","2"
"tRF-16-884U1DD","4"
"tRF-16-8871K9D","4"
"tRF-16-8R6546D","4"
"tRF-16-9EDJSYB","4"
"tRF-16-9N1EWJ0","4"
"tRF-16-BS68BFD","2"
"tRF-16-HR0VX6D","2"
"tRF-16-HSRVK7D","2"
"tRF-16-I3FJQSD","2"
"tRF-16-I7L7P50","2"
"tRF-16-INVDRID","2"
"tRF-16-JMRPFQD","2"
"tRF-16-K8KDP1B","2"
"tRF-16-K8QJP1B","2"
"tRF-16-KQ3SW1B","4"
"tRF-16-MBQ4NKD","2"
"tRF-16-RLXN48E","4"
"tRF-16-RX6NMHD","4"
"tRF-16-S3M830E","2"
"tRF-16-W3FJIKB","4"
"tRF-16-Y9PYKHD","4"
"tRF-16-ZDL9X1B","2"
"tRF-17-07QSNHJ","4"
"tRF-17-08P2F52","2"
"tRF-17-08Q2B52","2"
"tRF-17-4RRWRBJ","4"
"tRF-17-73V2Y8K","4"
"tRF-17-7P596V5","4"
"tRF-17-863IP52","2"
"tRF-17-8689SV2","4"
"tRF-17-86V8WPK","5"
"tRF-17-884U1D2","4"
"tRF-17-8871K92","2"
"tRF-17-8R6546J","4"
"tRF-17-8R6Q46J","2"
"tRF-17-8S68L52","2"
"tRF-17-8SPOL52","4"
"tRF-17-8SQ2SV2","4"
"tRF-17-8Y3DUV2","4"
"tRF-17-8Y3HSV2","4"
"tRF-17-9N1EWJM","4"
"tRF-17-BS68BFJ","2"
"tRF-17-D9W1X6K","2"
"tRF-17-DWY2MJ5","4"
"tRF-17-HR0VX6J","2"
"tRF-17-HSQSD2J","4"
"tRF-17-I2UKM7L","4"
"tRF-17-K8Q2B52","2"
"tRF-17-KS8WP92","4"
"tRF-17-KSP1852","2"
"tRF-17-KSPM852","2"
"tRF-17-KY4VXV2","4"
"tRF-17-NU3IND2","4"
"tRF-17-RPFQRD5","2"
"tRF-17-RX6NMH3","4"
"tRF-17-RXSINHQ","6"
"tRF-17-S8V0J6L","4"
"tRF-17-S8V0J8L","2"
"tRF-17-W3FJIK1","2"
"tRF-17-WS72092","2"
"tRF-17-YRRHQFJ","1"
"tRF-17-YSQSD2J","4"
"tRF-18-07QSNHD2","2"
"tRF-18-09Z51UD2","4"
"tRF-18-0RSSX7D2","2"
"tRF-18-18YKISD8","2"
"tRF-18-1KVUY9DZ","4"
"tRF-18-1SS2P4DX","4"
"tRF-18-1SS2PMX","2"
"tRF-18-490VL8DJ","4"
"tRF-18-4RRWRBD2","4"
"tRF-18-5BF900R","4"
"tRF-18-89Q867D2","3"
"tRF-18-8B8SOUDV","5"
